Order;MS Zoning;Lot Frontage;Lot Area;Land Contour;Land Slope;Overall Qual;Year Built;Year Remod/Add;Mas Vnr Type;Exter Qual;Bsmt Cond;Total Bsmt SF;Heating QC;Central Air;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;Kitchen Qual;TotRms AbvGrd;Garage Cars;Garage Area;Garage Cond;Pool Area;Pool QC;Mo Sold;Yr Sold;SalePrice
1;RL;141;31770;Lvl;Gtl;6;1960;1960;Stone;TA;Gd;1080;Fa;Y;1;0;3;1;TA;7;2;528;TA;0;Sp;5;2010;215000
2;RH;80;11622;Lvl;Gtl;5;1961;1961;None;TA;TA;882;TA;Y;1;0;2;1;TA;5;1;730;TA;0;Sp;6;2010;105000
3;RL;81;14267;Lvl;Gtl;6;1958;1958;BrkFace;TA;TA;1329;TA;Y;1;1;3;1;Gd;6;1;312;TA;0;Sp;6;2010;172000
4;RL;93;11160;Lvl;Gtl;7;1968;1968;None;Gd;TA;2110;Ex;Y;2;1;3;1;Ex;8;2;522;TA;0;Sp;4;2010;244000
5;RL;74;13830;Lvl;Gtl;5;1997;1998;None;TA;TA;928;Gd;Y;2;1;3;1;TA;6;2;482;TA;0;Sp;3;2010;189900
6;RL;78;9978;Lvl;Gtl;6;1998;1998;BrkFace;TA;TA;926;Ex;Y;2;1;3;1;Gd;7;2;470;TA;0;Sp;6;2010;195500
7;RL;41;4920;Lvl;Gtl;8;2001;2001;None;Gd;TA;1338;Ex;Y;2;0;2;1;Gd;6;2;582;TA;0;Sp;4;2010;213500
8;RL;43;5005;HLS;Gtl;8;1992;1992;None;Gd;TA;1280;Ex;Y;2;0;2;1;Gd;5;2;506;TA;0;Sp;1;2010;191500
9;RL;39;5389;Lvl;Gtl;8;1995;1996;None;Gd;TA;1595;Ex;Y;2;0;2;1;Gd;5;2;608;TA;0;Sp;3;2010;236500
10;RL;60;7500;Lvl;Gtl;7;1999;1999;None;TA;TA;994;Gd;Y;2;1;3;1;Gd;7;2;442;TA;0;Sp;6;2010;189000
11;RL;75;10000;Lvl;Gtl;6;1993;1994;None;TA;TA;763;Gd;Y;2;1;3;1;TA;7;2;440;TA;0;Sp;4;2010;175900
12;RL;;7980;Lvl;Gtl;6;1992;2007;None;TA;TA;1168;Ex;Y;2;0;3;1;TA;6;2;420;TA;0;Sp;3;2010;185000
13;RL;63;8402;Lvl;Gtl;6;1998;1998;None;TA;TA;789;Gd;Y;2;1;3;1;TA;7;2;393;TA;0;Sp;5;2010;180400
14;RL;85;10176;Lvl;Gtl;7;1990;1990;None;TA;TA;1300;Gd;Y;1;1;2;1;Gd;5;2;506;TA;0;Sp;2;2010;171500
15;RL;;6820;Lvl;Gtl;8;1985;1985;None;Gd;TA;1488;TA;Y;1;1;1;1;Gd;4;2;528;TA;0;Sp;6;2010;212000
16;RL;47;53504;HLS;Mod;8;2003;2003;BrkFace;Ex;TA;1650;Ex;Y;3;1;4;1;Ex;12;3;841;TA;0;Sp;6;2010;538000
17;RL;152;12134;Bnk;Mod;8;1988;2005;None;Gd;TA;559;Gd;Y;2;0;4;1;TA;8;2;492;TA;0;Sp;6;2010;164000
18;RL;88;11394;Lvl;Gtl;9;2010;2010;Stone;Gd;TA;1856;Ex;Y;1;1;1;1;Ex;8;3;834;TA;0;Sp;6;2010;394432
19;RL;140;19138;Lvl;Gtl;4;1951;1951;None;TA;TA;864;Ex;Y;1;0;2;1;TA;4;2;400;TA;0;Sp;6;2010;141000
20;RL;85;13175;Lvl;Gtl;6;1978;1988;Stone;TA;TA;1542;TA;Y;2;0;3;1;TA;7;2;500;TA;0;Sp;2;2010;210000
21;RL;105;11751;Lvl;Gtl;6;1977;1977;BrkFace;TA;TA;1844;Ex;Y;2;0;3;1;TA;7;2;546;TA;0;Sp;1;2010;190000
22;RL;85;10625;Lvl;Gtl;7;1974;1974;BrkFace;TA;TA;1053;TA;Y;2;0;3;1;Gd;6;2;528;TA;0;Sp;1;2010;170000
23;FV;;7500;Lvl;Gtl;7;2000;2000;None;Gd;TA;814;Ex;Y;2;1;3;1;Gd;7;2;663;TA;0;Sp;1;2010;216000
24;RL;;11241;Lvl;Gtl;6;1970;1970;BrkFace;TA;TA;1004;Ex;Y;1;0;2;1;TA;5;2;480;TA;0;Sp;3;2010;149000
25;RL;;12537;Lvl;Gtl;5;1971;2008;None;TA;TA;1078;Ex;Y;1;1;3;1;TA;6;2;500;TA;0;Sp;4;2010;149900
26;RL;65;8450;Lvl;Gtl;5;1968;1968;None;TA;TA;1056;Ex;Y;1;0;3;1;TA;6;1;304;TA;0;Sp;7;2010;142000
27;RL;70;8400;Lvl;Gtl;4;1970;1970;None;TA;TA;882;TA;Y;1;0;2;1;TA;4;2;525;TA;0;Sp;4;2010;126000
28;RL;70;10500;Lvl;Gtl;4;1971;1971;None;TA;TA;864;TA;Y;1;0;3;1;TA;5;0;0;Sg;0;Sp;4;2010;115000
29;RH;26;5858;Lvl;Gtl;7;1999;1999;None;Gd;TA;1405;Ex;Y;2;0;2;1;Gd;5;2;511;TA;0;Sp;6;2010;184000
30;RM;21;1680;Lvl;Gtl;6;1971;1971;BrkFace;TA;TA;483;TA;Y;1;1;2;1;TA;5;1;264;TA;0;Sp;2;2010;96000
31;RM;21;1680;Lvl;Gtl;5;1971;1971;BrkFace;TA;TA;525;TA;Y;1;1;3;1;TA;6;1;320;TA;0;Sp;3;2010;105500
32;RM;21;1680;Lvl;Gtl;6;1971;1971;BrkFace;TA;TA;525;TA;Y;1;1;3;1;TA;6;1;264;TA;0;Sp;3;2010;88000
33;RL;53;4043;Lvl;Gtl;6;1977;1977;None;TA;TA;1069;TA;Y;2;0;2;1;TA;4;2;440;TA;0;Sp;7;2010;127500
34;RL;24;2280;Lvl;Gtl;6;1975;1975;None;TA;TA;855;TA;Y;2;1;3;1;Gd;6;2;440;TA;0;Sp;6;2010;149900
35;RL;24;2280;Lvl;Gtl;7;1975;1975;None;TA;TA;836;Ex;Y;1;0;2;1;TA;4;1;308;TA;0;Sp;6;2010;120000
36;RL;24;2280;Lvl;Gtl;6;1978;1978;None;TA;TA;855;Fa;Y;2;1;3;1;TA;7;2;440;TA;0;Sp;7;2010;146000
37;RL;102;12858;Lvl;Gtl;9;2009;2010;Stone;Ex;TA;1590;Ex;Y;2;1;3;1;Ex;10;3;751;TA;0;Sp;1;2010;376162
38;RL;98;11478;Lvl;Gtl;8;2007;2008;Stone;Gd;TA;1704;Ex;Y;2;0;3;1;Gd;7;3;772;TA;0;Sp;5;2010;306000
39;RL;83;10159;Lvl;Gtl;9;2009;2010;Stone;Ex;TA;1930;Ex;Y;2;1;3;1;Ex;8;3;606;TA;0;Sp;4;2010;395192
40;RL;94;12883;Lvl;Gtl;8;2009;2010;Stone;Gd;TA;1544;Ex;Y;2;0;3;1;Gd;7;3;868;TA;0;Sp;6;2010;290941
41;RL;95;12182;Lvl;Gtl;7;2005;2005;BrkFace;Gd;TA;1541;Ex;Y;2;0;3;1;Gd;7;2;532;TA;0;Sp;5;2010;220000
42;RL;90;11520;Lvl;Gtl;9;2005;2005;BrkFace;Gd;TA;1698;Ex;Y;2;0;3;1;Ex;7;3;730;TA;0;Sp;6;2010;275000
43;RL;79;14122;Lvl;Gtl;8;2005;2006;BrkFace;Gd;TA;1822;Ex;Y;2;0;3;1;Ex;8;3;678;TA;0;Sp;2;2010;259000
44;RL;70;10171;Lvl;Gtl;7;2004;2004;BrkFace;Gd;TA;1517;Ex;Y;2;0;3;1;Gd;7;2;532;TA;0;Sp;3;2010;214000
45;RL;100;12919;Lvl;Gtl;9;2009;2010;Stone;Ex;TA;2330;Ex;Y;2;1;2;1;Ex;11;3;820;TA;0;Sp;3;2010;611657
46;RL;44;6371;Lvl;Gtl;7;2009;2010;Stone;Gd;TA;1358;Ex;Y;2;0;2;1;Gd;6;2;484;TA;0;Sp;6;2010;224000
47;RL;110;14300;HLS;Mod;9;2003;2004;BrkFace;Ex;TA;2846;Ex;Y;2;1;3;1;Ex;10;3;958;TA;0;Sp;6;2010;500000
48;RL;105;13650;Lvl;Gtl;8;2002;2002;BrkFace;Gd;TA;1671;Ex;Y;2;1;3;1;Gd;7;3;756;TA;0;Sp;6;2010;320000
49;RL;61;7658;Lvl;Gtl;9;2005;2005;BrkFace;Ex;TA;1752;Ex;Y;2;0;2;1;Ex;6;2;576;TA;0;Sp;2;2010;319900
50;RL;41;7132;Lvl;Gtl;8;2006;2006;Stone;Gd;TA;1370;Ex;Y;2;0;2;1;Gd;6;2;484;TA;0;Sp;4;2010;205000
51;RL;36;2628;Lvl;Gtl;7;2003;2003;Stone;Gd;TA;764;Ex;Y;2;1;2;1;Gd;6;2;474;TA;0;Sp;6;2010;175500
52;RL;100;18494;Lvl;Gtl;6;2005;2005;None;Gd;TA;1324;Ex;Y;2;0;3;1;Gd;6;2;430;TA;0;Sp;1;2010;199500
53;RL;43;3203;Lvl;Gtl;7;2006;2006;BrkFace;Gd;TA;1145;Ex;Y;2;0;2;1;Gd;6;2;437;TA;0;Sp;1;2010;160000
54;RL;43;3182;Lvl;Gtl;8;2004;2005;BrkFace;Gd;TA;1256;Ex;Y;2;0;2;1;Gd;6;2;430;TA;0;Sp;4;2010;192000
55;RL;67;13300;Lvl;Gtl;7;2004;2004;None;Gd;TA;384;Ex;Y;2;1;3;1;Gd;7;2;400;TA;0;Sp;6;2010;184500
56;RL;;7851;Lvl;Gtl;6;2002;2002;;Gd;TA;860;Ex;Y;2;1;4;1;Gd;8;2;440;TA;0;Sp;5;2010;216500
57;RL;63;8577;Lvl;Gtl;7;2004;2004;None;Gd;TA;847;Ex;Y;2;1;3;1;Gd;7;2;433;TA;0;Sp;4;2010;185088
58;RL;;7750;Lvl;Gtl;7;2000;2000;None;TA;TA;384;Ex;Y;2;1;3;1;TA;7;2;400;TA;0;Sp;4;2010;180000
59;RL;;9505;Lvl;Gtl;7;2001;2001;BrkFace;Gd;TA;884;Ex;Y;2;1;3;1;Gd;8;2;434;TA;0;Sp;5;2010;222500
60;RL;108;14774;Lvl;Gtl;9;1999;1999;BrkFace;Gd;TA;1393;Ex;Y;2;1;4;1;Gd;10;3;779;TA;0;Sp;5;2010;333168
61;RL;60;17433;Lvl;Gtl;8;1998;1998;BrkFace;Gd;TA;1629;Ex;Y;2;1;4;1;Gd;7;3;962;TA;0;Sp;1;2010;355000
62;RL;59;10593;Lvl;Gtl;7;1996;1996;BrkFace;Gd;TA;1720;Ex;Y;2;0;3;1;Gd;7;2;527;TA;0;Sp;3;2010;260400
63;RL;98;12256;Lvl;Gtl;8;1994;1995;BrkFace;Gd;TA;1463;Ex;Y;2;1;3;1;Gd;9;2;712;TA;0;Sp;4;2010;325000
64;RL;92;11764;Lvl;Gtl;8;1999;2007;BrkFace;Gd;TA;1152;Ex;Y;2;1;4;1;Gd;9;3;671;TA;0;Sp;4;2010;290000
65;RL;58;16770;Lvl;Gtl;7;1998;1998;BrkFace;Gd;TA;1195;Gd;Y;2;1;4;1;TA;7;2;486;TA;0;Sp;6;2010;221000
66;RL;56;14720;Lvl;Gtl;8;1995;1996;BrkFace;Gd;TA;2033;Ex;Y;2;1;4;1;Gd;9;3;666;TA;0;Sp;3;2010;410000
67;RL;73;8987;Lvl;Gtl;8;2005;2006;BrkFace;Gd;TA;1595;Ex;Y;2;0;2;1;Gd;6;3;880;TA;0;Sp;5;2010;221500
68;FV;92;9215;Lvl;Gtl;7;2009;2010;None;Gd;TA;1218;Ex;Y;2;0;2;1;Gd;4;2;676;TA;0;Sp;4;2010;204500
69;FV;72;8640;Lvl;Gtl;7;2009;2009;None;TA;TA;756;Ex;Y;2;1;3;1;Gd;7;2;614;TA;0;Sp;6;2010;215200
70;FV;75;9000;Lvl;Gtl;8;2008;2008;Stone;Gd;TA;1566;Ex;Y;2;0;3;1;Gd;7;2;750;TA;0;Sp;4;2010;262500
71;FV;100;12552;Lvl;Gtl;7;2004;2005;None;Gd;TA;991;Ex;Y;2;1;3;1;Gd;8;2;678;TA;0;Sp;5;2010;254900
72;FV;84;10440;Lvl;Gtl;6;2005;2005;None;Gd;TA;1468;Ex;Y;2;0;2;1;Gd;6;2;528;TA;0;Sp;5;2010;271500
73;RL;76;10142;Lvl;Gtl;7;2004;2004;None;Gd;TA;956;Ex;Y;2;1;4;1;Gd;8;2;618;TA;0;Sp;1;2010;233000
74;RL;70;11920;Lvl;Gtl;7;2004;2004;BrkFace;Gd;TA;831;Ex;Y;2;1;3;1;Gd;8;2;484;TA;0;Sp;4;2010;181000
75;RL;;8880;Lvl;Gtl;7;1994;2002;None;Gd;TA;948;Ex;Y;2;1;3;1;Gd;8;2;463;TA;0;Sp;5;2010;205000
76;RL;50;8012;Lvl;Gtl;6;1980;1980;None;TA;TA;923;TA;Y;2;0;2;1;TA;5;1;264;TA;0;Sp;5;2010;143000
77;RL;70;11218;Lvl;Gtl;6;1992;1992;None;Gd;TA;1055;Ex;Y;2;1;3;1;Gd;8;2;462;TA;0;Sp;5;2010;189000
78;RL;55;7892;Lvl;Gtl;6;1979;1979;None;TA;TA;918;TA;Y;2;0;2;1;TA;5;1;264;TA;0;Sp;4;2010;99500
